時間,最低價航空,目的地,最低價TWD,較上次變動TWD
2026-06-09 07:17,亞洲航空,馬尼拉,1099,
2026-06-09 07:38,亞洲航空,馬尼拉,1099,0
2026-06-10 15:54,亞洲航空,馬尼拉,1099,0
2026-06-11 04:42,亞洲航空,馬尼拉,1099,0
2026-06-11 16:15,亞洲航空,馬尼拉,1099,0
2026-06-12 04:45,亞洲航空,馬尼拉,1099,0
2026-06-12 15:30,亞洲航空,馬尼拉,1099,0
2026-06-13 04:23,亞洲航空,馬尼拉,1099,0
2026-06-13 14:15,亞洲航空,馬尼拉,1099,0
2026-06-14 04:50,亞洲航空,馬尼拉,1099,0
2026-06-14 14:19,亞洲航空,馬尼拉,1099,0
2026-06-15 05:07,亞洲航空,馬尼拉,1099,0
2026-06-15 17:23,亞洲航空,馬尼拉,1099,0
2026-06-16 05:10,亞洲航空,馬尼拉,1099,0
2026-06-16 17:09,亞洲航空,馬尼拉,1099,0
2026-06-17 04:51,亞洲航空,馬尼拉,1099,0
2026-06-17 15:53,亞洲航空,馬尼拉,1099,0
2026-06-18 04:44,亞洲航空,馬尼拉,1099,0
